code,name,descr,lang_code,is_active,cr_by,cr_dtimes
CIN,Carte nationale d'identité,Carte nationale d'identité,fra,TRUE,superadmin,now()
RNC,Bail locatif,Contrat de bail locatif,fra,TRUE,superadmin,now()
COR,Certificat de résidence,Preuve de résidence,fra,TRUE,superadmin,now()
CRN,Certificat de parenté,Preuve de relation avec la personne,fra,TRUE,superadmin,now()
COB,Certificat de naissance,Preuve de naissance et âge d'une personne,fra,TRUE,superadmin,now()
COE,Certificat d'invalidité,Certificat d'invalidité,fra,TRUE,superadmin,now()
DOC001,Passeport,Passeport,fra,TRUE,superadmin,now()
DOC002,Jugement supplétif,document juridique de naissance,fra,TRUE,superadmin,now()
DOC003,Certificat de nationalité,document émis par les services étatiques surtout consulaires,fra,TRUE,superadmin,now()
DOC004,Carte d’électeur,Carte d’électeur,fra,TRUE,superadmin,now()
DOC005,Permis de conduire,Permis de conduire,fra,TRUE,superadmin,now()
DOC006,Permis de travail,Permis de travail,fra,TRUE,superadmin,now()
DOC007,Carte de sécurité sociale,Carte de sécurité sociale,fra,TRUE,superadmin,now()
DOC008,Carte militaire,Carte de l'armée ou de la police,fra,TRUE,superadmin,now()
DOC009,Carte de pension sociale,Carte de pension sociale,fra,TRUE,superadmin,now()
DOC010,Carte consulaire,Carte consulaire,fra,TRUE,superadmin,now()
DOC011,Certificat de mariage,Certificat de mariage,fra,TRUE,superadmin,now()
DOC012,Facture de téléphone fixe,Facture téléphone fixe,fra,TRUE,superadmin,now()
DOC013,Facture d’électricité des 3 derniers mois,Facture d’électricité des 3 derniers mois,fra,TRUE,superadmin,now()
DOC014,Facture d’eau des 3 derniers mois,Facture d’eau des 3 derniers mois,fra,TRUE,superadmin,now()
DOC015,Extrait de naissance,Document emis par les services d'Etat civil,fra,TRUE,superadmin,now()
DOC016,Attestation médicale d'invalidité,Attestation médicale d'invalidité,fra,TRUE,superadmin,now()
DOC017,Titre de séjour,Titre de séjour,fra,TRUE,superadmin,now()
DOC018,Formulaire de consentement,Formulaire de consentement,fra,TRUE,superadmin,now()
EOP,Photo de l'exception,Photo de l'exception,fra,TRUE,superadmin,now()
